# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1771102757173000000,1771102817220000000,0
workspaceModel.global.updates.ms,1771102757173000000,1771102817220000000,0
workspaceModel.load.cache.metadata.from.file.ms,1771102757173000000,1771102817220000000,0
jps.global.initialize.library.bridges.ms,1771102757173000000,1771102817220000000,0
jps.global.handle.before.change.events.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1771102757173000000,1771102817220000000,0
workspaceModel.global.apply.state.to.project.ms,1771102757173000000,1771102817220000000,0
jps.library.entities.serializer.save.entities.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1771102757173000000,1771102817220000000,0
jps.global.get.libraries.ms,1771102757173000000,1771102817220000000,0
workspaceModel.save.cache.to.file.ms,1771102757173000000,1771102817220000000,0
jps.app.storage.content.reader.load.component.ms,1771102757173000000,1771102817220000000,4
jps.load.initial.state.ms,1771102757173000000,1771102817220000000,136
jps.global.initialize.library.bridges.after.loading.ms,1771102757173000000,1771102817220000000,12
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.entities.ms,1771102757173000000,1771102817220000000,8
workspaceModel.sync.entities.ms,1771102757173000000,1771102817220000000,0
workspaceModel.load.cache.from.file.ms,1771102757173000000,1771102817220000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1771102757173000000,1771102817220000000,0
jps.save.global.entities.ms,1771102757173000000,1771102817220000000,0
jps.global.get.library.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1771102757173000000,1771102817220000000,0
workspaceModel.global.updates.count,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1771102757173000000,1771102817220000000,0
jps.library.entities.serializer.load.entities.ms,1771102757173000000,1771102817220000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1771102757173000000,1771102817220000000,0
jps.global.get.library.by.name.ms,1771102757173000000,1771102817220000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1771102757173000000,1771102817220000000,0
jps.global.handle.changed.events.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1771102757173000000,1771102817220000000,4
workspaceModel.mutableEntityStorage.add.entity.ms,1771102757173000000,1771102817220000000,0
workspaceModel.mutableEntityStorage.instances.count,1771102757173000000,1771102817220000000,1
FilePageCache.disposedBuffers,1771102757173000000,1771102817220000000,3
FilePageCache.pageHits,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalPagesReclaimed,1771102757173000000,1771102817220000000,0
StreamlinedBlobStorage.recordsAllocated,1771102757173000000,1771102817220000000,25
FilePageCacheLockFree.housekeeperTurnsDone,1771102757173000000,1771102817220000000,0
DirectByteBufferAllocator.reclaimed,1771102757173000000,1771102817220000000,3
FilePageCacheLockFree.totalPagesRequested,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalPagesHandedOver,1771102757173000000,1771102817220000000,0
DirectByteBufferAllocator.disposed,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalPagesWriteMs,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalBytesWritten,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1771102757173000000,1771102817220000000,0
MappedFileStorage.storages,1771102757173000000,1771102817220000000,6
FilePageCache.pageLoads,1771102757173000000,1771102817220000000,380
FilePageCache.totalPageLoadsUs,1771102757173000000,1771102817220000000,2740439
FilePageCacheLockFree.heapBytesInUse,1771102757173000000,1771102817220000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1771102757173000000,1771102817220000000,0
FilePageCache.uncachedFileAccess,1771102757173000000,1771102817220000000,679
StorageLockContext.competingThreads.90P,1771102757173000000,1771102817220000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1771102757173000000,1771102817220000000,218
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1771102757173000000,1771102817220000000,0
FilePageCache.maxRegisteredFiles,1771102757173000000,1771102817220000000,1045
FilePageCacheLockFree.totalHeapBytesReclaimed,1771102757173000000,1771102817220000000,0
FilePageCacheLockFree.totalBytesRead,1771102757173000000,1771102817220000000,0
FilePageCache.maxCacheSizeInBytes,1771102757173000000,1771102817220000000,395313152
